dir	additions	deletions	changes
src/cmd/link/internal/ld/testdata/issue38192	50	4	54
src/cmd/vet/testdata/httpresponse	38	16	54
src/internal/boringtest	0	55	55
test/fixedbugs/issue44732.dir/bar	55	0	55
src/cmd/oldlink/internal/ld/testdata/issue32233/main	33	22	55
src/runtime/testdata/testfaketime	56	0	56
test/typeparam/issue49246.dir	51	5	56
misc/cgo/testshared/testdata/issue47837/main	42	14	56
test/typeparam/issue51423.dir	56	0	56
test/fixedbugs/issue29612.dir/p2/ssa	56	0	56
src/cmd/go/testdata/testcover/pkg4	14	42	56
test/fixedbugs/issue34503.dir	54	2	56
test/fixedbugs/issue32778.dir	58	0	58
test/fixedbugs/issue32922.dir	58	0	58
test/typeparam/issue51367.dir	56	2	58
misc/cgo/testcshared/testdata/issue36233	58	0	58
src/cmd/vendor/golang.org/x/tools/go/analysis/passes/internal/analysisutil	58	0	58
misc/cgo/test/testdata/issue30527	60	0	60
test/typeparam/issue49659.dir	58	2	60
test/fixedbugs/issue30907.dir	60	0	60
src/cmd/internal/metadata	60	0	60
test/typeparam/recoverimp.dir	58	2	60
test/fixedbugs/bug460.dir	30	30	60
misc/cgo/testplugin/testdata/forkexec	60	0	60
src/cmd/oldlink/internal/ld/testdata/issue25459/main	30	30	60
misc/cgo/testshared/testdata/issue25065	40	20	60
test/typeparam/issue46461b.dir	50	12	62
src/cmd/vet/testdata/src/assign	31	31	62
src/cmd/go/testdata/src	0	62	62
src/compress/zlib	39	24	63
test/typeparam/issue51836.dir	58	5	63
test/fixedbugs/issue30659.dir	64	0	64
test/typeparam/issue47514c.dir	62	2	64
test/fixedbugs/issue35586.dir	62	2	64
test/fixedbugs/issue44732.dir/foo	65	0	65
src/internal/goroot	27	39	66
src/crypto/internal/boring/bbig	66	0	66
test/fixedbugs/issue33866.dir	66	0	66
src/cmd/compile/internal/types2/testdata/check/importdecl1	66	0	66
src/cmd/go/testdata/testimport	0	67	67
test/fixedbugs/issue31637.dir	68	0	68
src/container/heap	33	36	69
misc/cgo/test/testdata/issue29563	70	0	70
test/typeparam/issue50841.dir	68	2	70
test/fixedbugs/issue44732.dir	65	5	70
test/fixedbugs/issue31959.dir	68	2	70
src/crypto/internal/boring/fipstls	70	1	71
test/fixedbugs/issue43962.dir	69	2	71
misc/cgo/testshared/src/global	0	71	71
misc/cgo/testshared/testdata/issue44031/a	63	9	72
misc/cgo/errors/src	72	0	72
test/fixedbugs/issue49094.dir	67	5	72
src/cmd/vendor/github.com/google/pprof/internal/plugin	30	42	72
misc/cgo/testcarchive/testdata/libgo8	72	0	72
src/cmd/compile/internal/types2/testdata/issue25008	46	26	72
test/typeparam/issue49667.dir	66	8	74
test/typeparam/structinit.dir	70	4	74
test/typeparam/issue48280.dir	70	4	74
src/mime/quotedprintable	48	26	74
test/fixedbugs/issue30862.dir/a	75	0	75
src/cmd/cover/testdata	59	16	75
src/html	70	5	75
test/typeparam/issue50552.dir	74	2	76
misc/cgo/testshared/testdata/issue47837/a	57	19	76
test/fixedbugs/issue33158.dir	74	2	76
test/typeparam/issue49497.dir	70	6	76
test/runtime	74	2	76
src/cmd/api/testdata/src/pkg/p4	70	8	78
src/cmd/go/testdata/src/vend/hello	0	78	78
src/cmd/link/testdata/pe-binutils	75	4	79
src/net/internal/socktest	50	29	79
src/cmd/link/internal/ld/testdata/issue32233/lib	75	5	80
test/fixedbugs/issue44355.dir	80	0	80
test/typeparam/issue48306.dir	76	4	80
test/fixedbugs/issue33020.dir	78	2	80
src/cmd/link/internal/ld/testdata/issue42484	71	9	80
src/cmd/compile/internal/test/testdata/mysort	80	0	80
src/cmd/vendor/github.com/google/pprof/internal/report/testdata/sample	0	82	82
test/typeparam/gencrawler.dir	80	2	82
src/cmd/compile/internal/test/testdata/reproducible	76	6	82
src/cmd/test2json	60	22	82
test/typeparam/issue50481b.dir	80	2	82
src/cmd/vendor/golang.org/x/tools/go/analysis/passes/bools	51	31	82
src/cmd/vendor/golang.org/x/tools/go/analysis/cmd/vet-lite	0	83	83
src/debug/elf/testdata	84	0	84
test/typeparam/issue48454.dir	80	4	84
misc/cgo/testshared/testdata/issue30768	55	30	85
src/cmd/vendor/github.com/google/pprof/driver	34	51	85
test/typeparam/select.dir	86	0	86
test/fixedbugs/issue29610.dir	86	0	86
test/fixedbugs/issue32595.dir	82	4	86
test/fixedbugs/issue52590.dir	86	0	86
src/cmd/go/internal/imports/testdata/illumos	86	0	86
misc/cgo/testplugin/testdata/method3	86	0	86
src/cmd/go/internal/imports/testdata/android	86	0	86
src/cmd/objdump/testdata	87	0	87
src/cmd/link/testdata/testRO	88	0	88
src/net/rpc/jsonrpc	42	46	88
src/compress/bzip2	44	44	88
misc/cgo/testsovar/testdata	79	9	88
test/typeparam/issue48185a.dir	86	3	89
test/typeparam/mdempsky/8.dir	65	24	89
src/cmd/vendor/golang.org/x/sys/internal/unsafeheader	90	0	90
test/typeparam/mdempsky/3.dir	86	4	90
src/testing/quick	46	44	90
